"id","language","ifrc_primary"
1,English,false
2,Spanish,false
3,French,false
4,Arabic,false
5,Bahasa Indonesia,false
6,Bambara,false
7,Cantonese,false
8,Chinese,false
9,Creole,false
10,Dutch,false
11,Farsi,false
12,Filipino,false
13,German,false
14,Greek,false
15,Hebrew,false
16,Hindi,false
17,Ilocano,false
18,Italian,false
19,Japanese,false
20,Kanada,false
21,Kiswahili,false
22,Macedonian,false
23,Malay,false
24,Mandarin,false
25,Philipino,false
26,Polish,false
27,Portugese,false
28,Russian,false
29,Shona,false
30,Swedish,false
31,Tagalog,false
32,Tamili,false
33,Turkish,false
34,Turkmen,false
35,Uzbek,false
36,Korean,false
37,Bengali,false
