"id","name","description","feature_category","cash_RTM_code"
8,Global Administration of Projects,"Ad administrator has the ability to manage cash projects globally. That means having a single view that can join data across projects and implementations, with reporting capable of aggregation of data.",configuration,"01-MD01-01"
9,Segregation of Country Instances,"An administrator has the ability to configure and manage country instances separately. That means being able to define geographical areas, specify currencies, and select custom user and access permissions based on a country.",configuration,"01-MD01-02"
10,Set Default Parameters,An administrator has the ability to define and set default parameters—such as the average household size—for the project.,configuration,"01-MD01-04"
11,Custom Approval Workflow,"Ability to configure an approval process and workflow that incorporates the segregation of duties with Requester/Approver workflows for Setup, Targeting, Disbursements, and Financial Flows.",configuration,"01-MD01-06"
12,Linkage with Providers,"The program manager and their team can assign products such as cash, goods or services with suppliers, traders, financial service providers.",configuration,"01-MD01-07"
13,Team Configuration,"Ability to configure users into teams for security access, program tasks and case management.
Security access is configurable through both role-based and geographic access.",configuration,"01-MD01-08"
14,Custom User Roles,Configure user roles that can change information about beneficiaries and the project.,configuration,"01-MD01-09"
15,Household Configuration,Program manager and their team must can define the household packages (basket or group of products) that can be assigned to a household.,configuration,"01-MD02-02"
16,Data Retention on Closeout,An administrator of the system can close the project so that data cannot be changed or added and manage data according to policy.,configuration,"01-MD02-03"
17,Pricing Setup,The program manager and their team can set up prices and currencies for products that will form the entitlement.,configuration,"01-MD02-04"
18,Registration of Merchants,The program manager and their team can set up traders or merchants who are linked to specific products and prices.,configuration,"01-MD03-01"
19,Flexible Payment Modality,"The ability to configure and integrate with multiple FSPs to use a variety of payment modalities, including (but not limited to) mobile money, pre-paid cards, e-vouchers, vouchers, bank transfers, remittance and money pick-up services.",configuration,"01-MD03-03"
20,Funding Source Configuration,"Ability to setup funding sources, link those sources to each disbursement or distribution, and track how funds are utilized across the program.",configuration,"01-MD05-01"
21,Device Management,"Ability to setup inventory of devices used in the program (e.g. mobile phones, tablets, point-of-sale terminals, smart cards).",configuration,"01-MD06-01"
22,Financial Service Provider Integration,"Ability to configure and integrate with FSPs for CVA distributions via API, file-sharing, or similar method.",configuration,"01-MD07-01"
23,Cross Platform Data Interoperability,"System utilizes accessible formats and the tool allows for direct connections that can tap into the data. Ability to connect to external systems to the data for analysis, visualization, and backup. These integrations allow for usage of third-party applications like Kobo for data collection, or PowerBI for dashboarding.",configuration,"01-MD07-02"
24,Task Management Support,"Ability to configure task management for users and beneficiaries, including case follow-ups, case notes, reminders, etc.",configuration,"01-MD08-04"
25,Native Data Collection Tool,"The platform has a built-in data collection tool and mobile application which eliminates the need for a secondary tool (like ODK, Kobo, etc.) to register beneficiaries.",beneficiary_registration,"02-BR01-01"
26,Integration with Third Party Data Collection Tools,"Ability to directly connect the platform with third party tool (like ODK, Kobo, etc.) without having to export/import.",beneficiary_registration,"02-BR01-02"
